Date,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctChInL,PctChInM
1970/1/1,24002.01,0.36,98.5,81.4,2283,8689,11.8,0,0
1970/2/1,24170,0.36,98.3,81.1,2283,8689,11.7,0,0
1970/3/1,24296,0.36,100.6,80.7,2283,8689,12.4,0,0
1970/4/1,24400.99,0.36,101.1,79.3,2283,8689,13.3,0,0
1970/5/1,24589.99,0.36,100.7,79.4,2283,8689,12.4,0,0
1970/6/1,24757.98,0.36,99.8,79.4,2283,8689,12.3,0,0
1970/7/1,24820.98,0.36,102,80,2283,8689,13.5,0,0
1970/8/1,25051.97,0.36,101.7,79.1,2283,8689,13.4,0,0
1970/9/1,25303.96,0.36,100.2,76.1,2283,8689,12.9,0,0
1970/10/1,25429.95,0.36,99.3,74,2283,8689,13.1,0,0
1970/11/1,25576.95,0.36,99.1,70.2,2283,8689,13.6,0,0
1970/12/1,25723.94,0.36,98,67.9,2283,8689,13.2,0,0
1971/1/1,25786.94,0.36,98.8,67.9,2539,8965,13.3,0.112133158,0.0317643
1971/2/1,25723.94,0.36,102.9,68.9,2539,8965,13.3,0.112133158,0.0317643
1971/3/1,25723.94,0.36,104,69.4,2539,8965,13.5,0.112133158,0.0317643
1971/4/1,25807.94,0.36,105.8,68.2,2539,8965,13.2,0.112133158,0.0317643
1971/5/1,25996.93,0.36,106.8,67.7,2539,8965,13.6,0.112133158,0.0317643
1971/6/1,26269.92,0.36,107.6,69.1,2539,8965,14.7,0.112133158,0.0317643
1971/7/1,26311.92,0.36,106.8,70.9,2539,8965,13.8,0.112133158,0.0317643
1971/8/1,26395.91,0.36,107.7,71.1,2539,8965,13.6,0.112133158,0.0317643
1971/9/1,26458.91,0.36,108,70.5,2539,8965,13.3,0.112133158,0.0317643
1971/10/1,26542.91,0.36,107.2,70.8,2539,8965,13.3,0.112133158,0.0317643
1971/11/1,26752.9,0.36,108.5,70.9,2539,8965,13.1,0.112133158,0.0317643
1971/12/1,26815.9,0.36,110.8,72.4,2539,8965,13,0.112133158,0.0317643
